timestamp,price
1730854802,
1730855702,71183.995
1730856602,71101.035
1730857502,71080.015
1730858402,71164.22
1730859302,71476.95000000001
1730860202,72539.43
1730861102,72890.42
1730862002,73108.515
1730862902,74018.48000000001
1730863802,73937.53
1730864702,74357.45
1730865602,74457.76000000001
1730866502,74407.55
1730867402,74711.235
1730868302,74656.99
1730869202,74262.075
1730870102,74047.91
1730871002,74367.29999999999
1730871902,74545.455
1730872802,74769.35500000001
1730873702,74833.735
1730874602,74666.545
1730875502,74632.93
1730876402,74345.16500000001
1730877302,74513.845
1730878202,74149.76999999999
1730879102,73705.99
1730880002,73435.68
1730880902,73318.355
1730881802,72927.245
1730882702,73325.08
1730883602,73485.52
1730884502,73804.88500000001
1730885402,73726.81
1730886302,73900.33
1730887202,73781.175
1730888102,73438.485
1730889002,73497.995
1730889902,73849.63500000001
1730890802,73840.36499999999
1730891702,73864.98999999999
1730892602,74325.035
1730893502,74249.265
1730894402,74294.35
1730895302,74579.705
1730896202,74472.61
1730897102,74376.66500000001
1730898002,74210.735
1730898902,74151.75
1730899802,73886.88500000001
1730900702,73793.455
1730901602,74025.065
1730902502,73833.09
1730903402,74285.255
1730904302,74296.495
1730905202,73602.99
1730906102,74256.0
1730907002,74238.005
1730907902,74208.08499999999
1730908802,74319.985
1730909702,74524.995
1730910602,74278.015
1730911502,74172.05
1730912402,74306.99
1730913302,74500.295
1730914202,74528.805
1730915102,74583.945
1730916002,74453.735
1730916902,74803.575
1730917802,74954.29500000001
1730918702,74956.305
1730919602,75238.985
1730920502,75356.0
1730921402,75321.985
1730922302,75483.88
1730923202,75792.995
1730924102,75960.0
1730925002,75683.29000000001
1730925902,75768.07
1730926802,76030.995
1730927702,76082.83
1730928602,75762.7
1730929502,75806.055
1730930402,75932.0
1730931302,75700.92
1730932202,75669.17
1730933102,75634.575
1730934002,75668.34
1730934902,75623.54999999999
1730935802,75795.07500000001
1730936702,75580.225
1730937602,75571.99
1730938502,75571.99
1730939402,75571.99
1730940302,75571.99
